,Song (A-Z)
0,Ahe's My Kind Of Girl
1,"Andante, Andante"
2,As Good As New
3,Bang
4,Bang-A-Boomerang
5,Burning My Bridges
6,Cassandra
7,Chiquitita
8,Crazy World
9,Crying Over You
10,Dance
11,Dancing Queen
12,Disillusion
13,Does Your Mother Know
14,Dream World
15,Dum Dum Diddle
16,Eagle
17,Fernando
18,Fernando (In Spanish)
19,Free As A Bumble Bee
20,From A Twinkling Star To A Passing Angel
21,Gimme Gimme Gimme
22,Givin' A Little Bit More
23,Gonna Sing You My Lovesong
24,Hamlet III
25,Happy Hawaii
26,Happy New Year
27,He Is Your Brother
28,Head Over Heels
29,Here We'll Stay
30,Hey Hey Helen
31,Hole In Your Soul
32,"Honey, Honey"
33,I Am Just A Girl
34,I Am The City
35,"I Do, I Do, I Do, I Do, I Do"
36,I Have A Dream
37,I Let The Music Speak
38,I Saw It In The Mirror
39,I Wonder (Departure)
40,I Wonder (Departure) [Live]
41,If It Wasn't For The Nights
42,I'm A Marionette
43,I've Been Waiting For You
44,Juper Jrouper
45,Just A Notion
46,King Kong Song
47,Kisses Of Fire
48,Knowing Me Knowing You
49,Lay All Your Love On Me
50,Like An Angel Passing Through My Room
51,Love Has It's Ways
52,Love Isn't Easy
53,Lovelight
54,Lovers
55,Mamma Mia
56,Me And Bobby And Bobby's Brother
57,Me And I
58,Merry-Go-Round
59,Midnight Special
60,Money Money Money
61,Move On
62,"My Love, My Life"
63,My Mama Said
64,"Nina, Pretty Ballerina"
65,On And On And On
66,"One Man, One Woman"
67,One Of Us
68,Our Last Summer
69,People Need Love
70,Pick A Bale Of Cotton
71,Put On Your White Sombrero
72,Reina Danzante
73,Rikky Rock'n'Roller
74,Ring Ring
75,Rock Me
76,Rock 'n Roll Band
77,Rubber Ball Man
78,S. O. S.
79,Should I Laugh Or Cry
80,Sitting In The Palmtree
81,Slipping Through My Fingers
82,So Long
83,Soldiers
84,SOS
85,Summer Night City
86,Take A Chance On Me
87,Thank You For The Music
88,That's Me
89,The Day Before You Came
90,The King Has Lost His Crown
91,The Name Of The Game
92,The Piper
93,The Visitors
94,The Winner Takes It All
95,Tiger
96,Tropical Loveland
97,Two For The Price Of One
98,Under Attack
99,Watch Out
100,Waterloo
101,What About Livingstone
102,When All Is Said And Done
103,When I Kissed The Teacher
104,Why Did It Have To Be Me?
105,You Owe Me One
